,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
SANTA CLARA SABORIZADA FAMILIAR,0,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SANTA CLARA SABORIZADA INDIVIDUAL,13,16,22,0,0,58,70,57,11,3,3,21,5,102,95,80,107,1,52,123,50,82,71,12,65,74,38,82,99,73,94,60,83,30,21,22,28,0,0,22,35,93,94,60,30,6,47,18,1,0,0,10,79,82,8,96,122,0,23,78,107,0,3,12,71,85,85
SANTA CLARA SEMIDESCREMADA FAMILIAR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SENZAO INDIVIDUAL,3,1,2,0,0,85,118,108,38,40,0,73,28,84,91,112,123,9,95,120,3,28,3,3,43,113,106,108,116,101,122,15,29,5,2,5,78,0,0,5,11,22,22,13,4,1,7,0,0,10,0,0,106,125,0,101,119,0,86,113,122,0,0,0,0,71,81
SIDRAL MUNDET FAMILIAR,24,24,17,0,0,666,906,945,122,119,19,596,348,660,779,981,1051,93,840,996,84,186,96,11,454,1059,380,864,1162,787,1032,117,178,54,37,209,436,7,3,41,117,162,181,143,52,23,83,39,0,79,0,106,0,1028,87,824,1111,28,382,964,1054,1,145,317,677,838,859
SIDRAL MUNDET INDIVIDUAL,23,31,20,1,0,1141,1292,1288,167,154,10,829,475,1210,1166,1454,1504,354,1288,1460,82,224,112,14,487,1548,409,1415,1468,1274,1473,138,251,80,29,568,797,53,6,77,158,196,241,139,66,23,83,42,1,82,0,125,1028,0,122,1336,1490,16,546,1419,1566,0,512,369,1201,1168,1223
SIERRAZUL AGUA PURIFICADA FAMILIAR,3,3,0,0,0,52,140,121,0,1,2,35,39,114,122,112,158,39,121,164,3,40,12,2,12,131,4,127,150,121,157,24,39,7,2,84,99,36,5,6,12,36,48,26,1,0,4,1,0,8,0,0,87,122,0,126,136,0,39,131,138,0,70,52,166,148,123
SPRITE FAMILIAR,23,31,24,1,0,1012,1125,1200,121,114,12,762,471,716,846,1177,1310,355,1008,1263,66,272,113,15,412,1503,361,1019,1471,754,1177,180,305,65,9,406,781,25,17,125,219,234,275,186,65,27,91,34,0,96,1,101,824,1336,126,0,1345,16,490,1056,1111,1,496,300,1087,977,1183
SPRITE INDIVIDUAL,29,60,28,0,0,1207,1427,1364,134,122,23,792,469,1311,1235,1563,1649,384,1358,1655,88,400,142,15,522,1637,364,1453,1564,1336,1363,179,370,87,25,635,810,64,12,154,295,303,380,241,78,23,93,48,1,122,0,119,1111,1490,136,1345,0,18,558,1560,1727,2,520,404,1335,1292,1407
SPRITE SIN AZÚCAR FAMILIAR,0,0,0,0,0,28,17,21,12,22,0,9,9,16,16,25,21,0,26,20,0,0,0,0,28,27,0,22,19,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16,0,16,18,0,0,21,16,0,0,0,0,21,12
SPRITE SIN AZÚCAR INDIVIDUAL,8,5,12,0,0,502,484,550,78,48,3,366,228,519,460,573,582,193,547,624,23,58,55,3,205,639,235,588,589,505,509,59,62,17,22,269,426,17,4,3,71,34,49,41,21,16,27,15,0,23,0,86,382,546,39,490,558,0,0,511,609,0,217,61,427,418,460
TOPO CHICO A.M. FAMILIAR,33,39,32,1,0,1015,1204,1251,105,103,25,708,428,872,972,1271,1490,290,1116,1419,71,371,100,12,447,1501,373,1235,1632,963,1329,213,313,78,21,478,770,26,13,225,282,262,376,209,50,27,89,40,0,78,1,113,964,1419,131,1056,1560,21,511,0,947,5,409,371,1355,1155,1311
TOPO CHICO A.M. INDIVIDUAL,35,51,32,1,0,1123,1302,1284,115,98,31,825,515,1132,1161,1371,1630,340,1167,1605,68,539,122,19,447,1613,409,1301,1836,1077,1436,265,463,86,25,495,864,36,19,291,429,379,572,289,64,22,104,42,0,107,0,122,1054,1566,138,1111,1727,16,609,947,0,8,465,317,1311,1204,1489
TOPO CHICO INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,2,9,0,2,5,0,6,0,0,0,1,0,0,1,4,0,1,2,0,0,5,2,0,0,6,6,2,6,2,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,5,8,0,0,0,5,5,7
TOPO CHICO SANGRIA LIGHT INDIVIDUAL,0,1,0,0,0,594,371,382,0,0,1,268,140,432,410,508,448,379,488,498,2,13,0,1,66,588,1,469,557,437,505,7,15,2,0,500,509,51,7,6,41,7,8,8,3,1,5,3,0,3,0,0,145,512,70,496,520,0,217,409,465,0,0,117,474,380,447
TOPO CHICO SANGRÍA FAMILIAR,7,3,10,0,0,168,350,370,0,0,6,172,46,259,272,344,376,75,344,394,10,40,11,2,143,403,4,345,396,297,361,25,63,17,4,133,158,39,5,25,47,46,53,38,12,7,19,4,0,12,0,0,317,369,52,300,404,0,61,371,317,0,117,0,479,380,347
TOPO CHICO SANGRÍA INDIVIDUAL,26,34,29,0,0,980,1065,1002,0,0,19,613,330,1122,1168,1336,1432,490,1171,1358,67,289,80,9,277,1287,15,1127,1349,1106,1227,163,278,67,28,783,965,85,21,165,264,217,308,176,52,29,75,37,0,71,0,0,677,1201,166,1087,1335,0,427,1355,1311,5,474,479,0,1053,1199
VALLE FRUT FAMILIAR,31,42,25,1,0,864,981,1001,105,103,28,575,332,880,989,1107,1289,283,960,1251,78,308,121,12,343,1164,204,1033,1280,984,1127,203,293,63,25,456,653,36,6,185,281,235,337,229,56,20,91,34,0,85,0,71,838,1168,148,977,1292,21,418,1155,1204,5,380,380,1053,0,999
VALLE FRUT INDIVIDUAL,28,39,27,1,0,886,1088,1029,80,83,38,579,359,1203,1186,1280,1492,359,1135,1440,83,365,109,7,391,1234,250,1164,1347,1173,1347,207,341,69,32,611,819,23,10,229,304,273,421,232,49,25,88,26,0,85,0,81,859,1223,123,1183,1407,12,460,1311,1489,7,447,347,1199,999,0
