,ADES FRUTAL FAMILIAR,ADES FRUTAL INDIVIDUAL,ADES LÁCTEO FAMILIAR,ADES LÁCTEO INDIVIDUAL,CAFÉ BLAK INDIVIDUAL,CIEL AGUA PURIFICADA FAMILIAR,CIEL AGUA PURIFICADA INDIVIDUAL,CIEL EXPRIM INDIVIDUAL,CIEL MINERALIZADA FAMILIAR,CIEL MINERALIZADA INDIVIDUAL,CIEL MINI INDIVIDUAL,COCA-COLA CAFÉ INDIVIDUAL,COCA-COLA ENERGY INDIVIDUAL,COCA-COLA FAMILIAR,COCA-COLA INDIVIDUAL,COCA-COLA LIGHT FAMILIAR,COCA-COLA LIGHT INDIVIDUAL,COCA-COLA LIGHT SIN CAFEINA INDIVIDUAL,COCA-COLA SIN AZÚCAR FAMILIAR,COCA-COLA SIN AZÚCAR INDIVIDUAL,DEL VALLE FAMILIAR,DEL VALLE INDIVIDUAL,DEL VALLE RESERVA FAMILIAR,DEL VALLE RESERVA INDIVIDUAL,DEL VALLE Y NADA FAMILIAR,DEL VALLE Y NADA INDIVIDUAL,DELAWARE PUNCH INDIVIDUAL,FANTA FAMILIAR,FANTA INDIVIDUAL,FRESCA FAMILIAR,FRESCA INDIVIDUAL,FRUTSI INDIVIDUAL,FUZE TEA INDIVIDUAL,GLACÉAU INDIVIDUAL,ISOLITE INDIVIDUAL,JOYA FAMILIAR,JOYA INDIVIDUAL,MANZANA LIFT FAMILIAR,MANZANA LIFT INDIVIDUAL,MIXTOS FAMILIAR,MIXTOS INDIVIDUAL,MONSTER ENERGY INDIVIDUAL,POWERADE INDIVIDUAL,PULPY INDIVIDUAL,SANTA CLARA DESLACTOSADA FAMILIAR,SANTA CLARA DESLACTOSADA LIGHT FAMILIAR,SANTA CLARA ENTERA FAMILIAR,SANTA CLARA LIGHT FAMILIAR,SANTA CLARA SABORIZADA FAMILIAR,SANTA CLARA SABORIZADA INDIVIDUAL,SANTA CLARA SEMIDESCREMADA FAMILIAR,SENZAO INDIVIDUAL,SIDRAL MUNDET FAMILIAR,SIDRAL MUNDET INDIVIDUAL,SIERRAZUL AGUA PURIFICADA FAMILIAR,SPRITE FAMILIAR,SPRITE INDIVIDUAL,SPRITE SIN AZÚCAR FAMILIAR,SPRITE SIN AZÚCAR INDIVIDUAL,TOPO CHICO A.M. FAMILIAR,TOPO CHICO A.M. INDIVIDUAL,TOPO CHICO INDIVIDUAL,TOPO CHICO SANGRIA LIGHT INDIVIDUAL,TOPO CHICO SANGRÍA FAMILIAR,TOPO CHICO SANGRÍA INDIVIDUAL,VALLE FRUT FAMILIAR,VALLE FRUT INDIVIDUAL
DEL VALLE RESERVA FAMILIAR,1,2,1,0,0,8,3,4,1,0,3,3,1,1,0,10,5,0,2,2,5,10,0,2,6,19,3,9,11,8,9,9,12,3,0,1,1,0,0,1,1,6,9,7,5,1,5,6,0,5,0,1,7,10,0,5,13,0,5,6,5,0,0,1,5,12,11
DEL VALLE RESERVA INDIVIDUAL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,3,3,0,0,1,0,0,0
DEL VALLE Y NADA FAMILIAR,1,0,0,0,0,25,28,38,4,2,0,21,11,4,3,25,25,1,17,31,6,5,6,0,0,37,10,41,42,24,33,6,4,1,2,6,13,0,0,0,1,5,2,4,8,3,4,3,0,8,0,3,30,47,2,19,35,0,12,18,26,0,6,8,18,20,22
DEL VALLE Y NADA INDIVIDUAL,2,1,5,0,0,109,81,94,11,8,1,68,29,9,10,86,68,37,84,73,9,10,19,0,37,0,23,109,105,76,72,15,19,8,1,26,45,1,1,2,9,8,11,17,10,4,15,4,0,11,0,12,66,116,11,83,100,1,48,53,89,0,52,21,88,102,111
DELAWARE PUNCH INDIVIDUAL,0,0,0,0,0,18,22,29,4,9,0,29,6,5,3,34,24,1,24,28,7,8,3,0,10,23,0,27,29,30,18,5,9,1,0,0,9,0,0,1,4,8,5,3,0,0,3,1,0,1,0,9,22,32,0,33,23,0,15,14,37,0,1,0,1,18,25
FANTA FAMILIAR,1,1,2,0,0,77,67,105,9,12,0,55,37,6,3,57,62,25,62,76,2,17,9,1,41,109,27,0,112,53,88,11,17,3,0,16,40,2,1,6,19,8,21,10,2,1,9,5,0,3,0,8,51,102,6,50,109,4,45,45,72,0,33,21,70,92,82
FANTA INDIVIDUAL,0,2,2,0,0,104,82,109,17,11,1,58,37,14,16,104,96,36,87,112,4,35,11,0,42,105,29,112,0,82,86,22,26,4,1,38,57,4,2,6,25,29,32,11,9,3,4,2,0,7,0,11,90,98,9,68,90,2,49,67,104,0,38,28,81,110,115
FRESCA FAMILIAR,1,2,1,0,0,59,41,49,9,10,1,48,26,8,8,53,44,12,37,65,2,17,8,2,24,76,30,53,82,0,64,14,20,2,1,17,30,3,3,16,22,11,24,8,2,0,2,0,0,4,0,3,37,73,2,26,67,3,38,33,54,0,25,11,41,52,65
FRESCA INDIVIDUAL,2,2,0,0,0,103,59,80,10,8,0,60,29,13,11,59,71,33,76,74,5,26,9,1,33,72,18,88,86,64,0,11,27,8,2,19,39,0,2,12,28,14,21,6,4,3,9,1,0,5,0,14,80,92,8,48,68,1,61,47,77,0,42,32,66,95,113
FRUTSI INDIVIDUAL,2,2,2,0,0,7,8,10,1,0,2,4,1,4,7,13,22,1,5,24,6,16,9,0,6,15,5,11,22,14,11,0,9,6,4,10,10,0,0,4,17,14,14,11,6,1,6,3,0,7,0,0,9,17,2,17,16,0,6,10,16,0,0,3,14,17,13
FUZE TEA INDIVIDUAL,6,3,1,0,0,13,8,16,0,2,3,2,0,5,11,15,36,2,9,27,7,26,12,1,4,19,9,17,26,20,27,9,0,8,4,7,11,0,0,16,15,15,20,16,3,1,9,1,1,6,0,0,19,29,1,20,29,0,7,14,32,0,2,6,20,29,31
